unique_id,n_hits,any_hit,check_ids
235,1,True,insecure-use-memset
550,3,True,insecure-use-string-copy-fn
575,1,True,insecure-use-memset
1476,1,True,insecure-use-memset
2022,7,True,incorrect-use-ato-fn;insecure-use-memset
2045,1,True,insecure-use-string-copy-fn
2413,1,True,insecure-use-memset
2953,1,True,insecure-use-memset
2969,2,True,insecure-use-memset
3307,1,True,insecure-use-memset
3376,1,True,incorrect-use-ato-fn
3398,2,True,insecure-use-strcat-fn
3702,1,True,insecure-use-memset
4134,2,True,insecure-use-memset
4526,1,True,insecure-use-memset
5204,1,True,insecure-use-memset
5344,1,True,insecure-use-string-copy-fn
5621,4,True,insecure-use-string-copy-fn
5678,1,True,insecure-use-memset
5967,3,True,insecure-use-memset
6017,1,True,insecure-use-memset
6098,1,True,insecure-use-memset
6461,1,True,incorrect-use-ato-fn
6493,2,True,insecure-use-memset
6795,1,True,incorrect-use-ato-fn
7660,1,True,insecure-use-string-copy-fn
8052,1,True,insecure-use-memset
8377,1,True,insecure-use-memset
8900,1,True,insecure-use-memset
8906,1,True,insecure-use-memset
9107,1,True,insecure-use-memset
9175,1,True,insecure-use-memset
9496,1,True,insecure-use-memset
9758,1,True,insecure-use-memset
9829,1,True,incorrect-use-ato-fn
10049,1,True,incorrect-use-ato-fn
10434,1,True,insecure-use-memset
10534,1,True,incorrect-use-ato-fn
10761,4,True,insecure-use-memset
10765,2,True,insecure-use-memset
11123,1,True,insecure-use-memset
11188,1,True,insecure-use-strtok-fn
11785,1,True,insecure-use-memset
12193,2,True,insecure-use-memset
12275,4,True,insecure-use-string-copy-fn
12378,1,True,insecure-use-memset
12438,2,True,insecure-use-memset;insecure-use-string-copy-fn
12439,1,True,insecure-use-memset
12531,6,True,insecure-use-strcat-fn;insecure-use-string-copy-fn
12544,2,True,insecure-use-memset;insecure-use-string-copy-fn
12695,2,True,insecure-use-memset
12715,2,True,insecure-use-memset
12952,2,True,insecure-use-memset
13038,1,True,insecure-use-memset
13303,2,True,insecure-use-memset
13327,1,True,insecure-use-memset
13329,2,True,insecure-use-memset
13686,1,True,insecure-use-memset
13908,2,True,insecure-use-memset
13915,1,True,insecure-use-memset
14247,1,True,insecure-use-memset
14548,1,True,insecure-use-memset
15241,3,True,incorrect-use-ato-fn
15407,2,True,insecure-use-memset
15477,1,True,insecure-use-string-copy-fn
15550,1,True,function-use-after-free
15657,1,True,insecure-use-memset
16126,1,True,incorrect-use-ato-fn
16172,1,True,incorrect-use-ato-fn
16176,3,True,incorrect-use-ato-fn
16179,1,True,incorrect-use-ato-fn
16197,1,True,incorrect-use-ato-fn
16205,1,True,incorrect-use-ato-fn
16206,2,True,incorrect-use-ato-fn
16207,1,True,incorrect-use-ato-fn
16208,1,True,incorrect-use-ato-fn
16209,2,True,incorrect-use-ato-fn
16288,1,True,insecure-use-string-copy-fn
16338,1,True,insecure-use-memset
16500,1,True,insecure-use-memset
16799,2,True,insecure-use-memset
16841,1,True,insecure-use-memset
16922,1,True,insecure-use-memset
16930,1,True,insecure-use-memset
17788,1,True,insecure-use-memset
17978,2,True,insecure-use-memset
18009,1,True,insecure-use-string-copy-fn
18056,1,True,insecure-use-memset
18248,2,True,incorrect-use-ato-fn;insecure-use-memset
18425,2,True,insecure-use-string-copy-fn
18436,1,True,insecure-use-memset
18466,4,True,insecure-use-strcat-fn;insecure-use-string-copy-fn
18481,1,True,insecure-use-memset
18925,1,True,insecure-use-memset
19145,1,True,insecure-use-memset
19294,1,True,insecure-use-memset
19471,1,True,insecure-use-string-copy-fn
19532,1,True,insecure-use-string-copy-fn
19656,1,True,insecure-use-string-copy-fn
19914,1,True,insecure-use-memset
20516,1,True,insecure-use-memset
20621,1,True,insecure-use-memset
20746,1,True,insecure-use-memset
20974,1,True,insecure-use-memset
21449,1,True,insecure-use-memset
21475,2,True,insecure-use-string-copy-fn
21507,5,True,insecure-use-memset
21865,1,True,insecure-use-string-copy-fn
22201,1,True,insecure-use-memset
22951,1,True,insecure-use-memset
23258,1,True,insecure-use-memset
23646,1,True,insecure-use-string-copy-fn
