unique_id,true_label,true_cwe,code_len_chars,cwe_block_len,cert_block_len,flaw_block_len,stack_block_len,cwe_block_nonempty,cert_block_nonempty,flaw_block_nonempty,cert_is_fallback,cert_rule_ids,cwe_ids_shown,candidate_cwe_ids,n_flaw_hits,true_cwe_in_candidates,true_cwe_candidate_rank
182410,vulnerable,CWE-119,297,2246,510,0,2758,True,True,False,False,ENV01-C;MEM10-C;ARR00-C;ERR07-C;FIO30-C,119;787;125;120;20,119;787;125;120;20,0,True,1
179607,vulnerable,CWE-264,1339,2246,510,0,2758,True,True,False,False,ENV01-C;MEM10-C;ARR00-C;ERR07-C;FIO30-C,119;787;125;120;20,119;787;125;120;20,0,False,
178755,vulnerable,CWE-200,2354,2246,510,0,2758,True,True,False,False,ENV01-C;MEM10-C;ARR00-C;ERR07-C;FIO30-C,119;787;125;120;20,119;787;125;120;20,0,False,
29969,vulnerable,CWE-200,3379,2246,510,0,2758,True,True,False,False,ENV01-C;MEM10-C;ARR00-C;ERR07-C;FIO30-C,119;787;125;120;20,119;787;125;120;20,0,False,
178922,vulnerable,CWE-189,391,2246,510,0,2758,True,True,False,False,ENV01-C;MEM10-C;ARR00-C;ERR07-C;FIO30-C,119;787;125;120;20,119;787;125;120;20,0,False,
186120,vulnerable,CWE-264,248,2246,510,0,2758,True,True,False,False,ENV01-C;MEM10-C;ARR00-C;ERR07-C;FIO30-C,119;787;125;120;20,119;787;125;120;20,0,False,
180577,vulnerable,,551,2016,552,0,2570,True,True,False,False,ENV01-C;INT18-C;MEM10-C;ARR00-C;ERR07-C,190;119;787;125;120,190;119;787;125;120;20,0,False,
178879,vulnerable,,305,2246,510,0,2758,True,True,False,False,ENV01-C;MEM10-C;ARR00-C;ERR07-C;FIO30-C,119;787;125;120;20,119;787;125;120;20,0,False,
71857,vulnerable,CWE-119,268,2246,510,0,2758,True,True,False,False,ENV01-C;MEM10-C;ARR00-C;ERR07-C;FIO30-C,119;787;125;120;20,119;787;125;120;20,0,True,1
178070,vulnerable,CWE-119,546,2246,510,0,2758,True,True,False,False,ENV01-C;MEM10-C;ARR00-C;ERR07-C;FIO30-C,119;787;125;120;20,119;787;125;120;20,0,True,1
187608,vulnerable,,3827,2246,510,314,3074,True,True,True,False,ENV01-C;MEM10-C;ARR00-C;ERR07-C;FIO30-C,119;787;125;120;20,119;787;125;120;20;134,1,False,
187034,vulnerable,,685,2246,510,0,2758,True,True,False,False,ENV01-C;MEM10-C;ARR00-C;ERR07-C;FIO30-C,119;787;125;120;20,119;787;125;120;20,0,False,
181360,vulnerable,CWE-404,264,2246,510,0,2758,True,True,False,False,ENV01-C;MEM10-C;ARR00-C;ERR07-C;FIO30-C,119;787;125;120;20,119;787;125;120;20,0,False,
183206,vulnerable,CWE-125,4848,2246,510,543,3303,True,True,True,False,ENV01-C;MEM10-C;ARR00-C;ERR07-C;FIO30-C,119;787;125;120;20,119;787;125;120;20,3,True,3
180059,vulnerable,CWE-119,1181,2246,510,0,2758,True,True,False,False,ENV01-C;MEM10-C;ARR00-C;ERR07-C;FIO30-C,119;787;125;120;20,119;787;125;120;20,0,True,1
185419,vulnerable,,133,2246,510,0,2758,True,True,False,False,ENV01-C;MEM10-C;ARR00-C;ERR07-C;FIO30-C,119;787;125;120;20,119;787;125;120;20,0,False,
181881,vulnerable,CWE-190,349,2246,510,0,2758,True,True,False,False,ENV01-C;MEM10-C;ARR00-C;ERR07-C;FIO30-C,119;787;125;120;20,119;787;125;120;20,0,False,
187288,vulnerable,CWE-311,348,2246,510,0,2758,True,True,False,False,ENV01-C;MEM10-C;ARR00-C;ERR07-C;FIO30-C,119;787;125;120;20,119;787;125;120;20,0,False,
182881,vulnerable,CWE-190,433,2246,510,0,2758,True,True,False,False,ENV01-C;MEM10-C;ARR00-C;ERR07-C;FIO30-C,119;787;125;120;20,119;787;125;120;20,0,False,
181024,vulnerable,CWE-125,945,2246,510,0,2758,True,True,False,False,ENV01-C;MEM10-C;ARR00-C;ERR07-C;FIO30-C,119;787;125;120;20,119;787;125;120;20,0,True,3
181777,vulnerable,CWE-119,3447,2246,510,0,2758,True,True,False,False,ENV01-C;MEM10-C;ARR00-C;ERR07-C;FIO30-C,119;787;125;120;20,119;787;125;120;20,0,True,1
180123,vulnerable,CWE-20,1911,2246,510,541,3301,True,True,True,False,ENV01-C;MEM10-C;ARR00-C;ERR07-C;FIO30-C,787;125;119;120;20,787;125;119;120;20,3,True,5
183419,vulnerable,CWE-476,3443,2246,510,317,3077,True,True,True,False,ENV01-C;MEM10-C;ARR00-C;ERR07-C;FIO30-C,120;119;787;125;20,120;119;787;125;20,1,False,
181433,vulnerable,CWE-119,3395,2016,552,541,3113,True,True,True,False,ENV01-C;INT18-C;MEM10-C;ARR00-C;ERR07-C,787;125;119;190;120,787;125;119;190;120;20,3,True,3
179721,vulnerable,CWE-399,5304,2246,510,0,2758,True,True,False,False,ENV01-C;MEM10-C;ARR00-C;ERR07-C;FIO30-C,119;787;125;120;20,119;787;125;120;20,0,False,
180668,vulnerable,,313,2246,510,0,2758,True,True,False,False,ENV01-C;MEM10-C;ARR00-C;ERR07-C;FIO30-C,119;787;125;120;20,119;787;125;120;20,0,False,
178828,vulnerable,CWE-189,953,2246,510,0,2758,True,True,False,False,ENV01-C;MEM10-C;ARR00-C;ERR07-C;FIO30-C,119;787;125;120;20,119;787;125;120;20,0,False,
182627,vulnerable,CWE-362,530,2246,510,0,2758,True,True,False,False,ENV01-C;MEM10-C;ARR00-C;ERR07-C;FIO30-C,119;787;125;120;20,119;787;125;120;20,0,False,
182006,vulnerable,CWE-119,846,2246,510,0,2758,True,True,False,False,ENV01-C;MEM10-C;ARR00-C;ERR07-C;FIO30-C,119;787;125;120;20,119;787;125;120;20,0,True,1
179999,vulnerable,,3892,2246,510,303,3063,True,True,True,False,ENV01-C;MEM10-C;ARR00-C;ERR07-C;FIO30-C,787;125;119;120;20,787;125;119;120;20,1,False,
183260,vulnerable,,8507,2246,510,0,2758,True,True,False,False,ENV01-C;MEM10-C;ARR00-C;ERR07-C;FIO30-C,119;787;125;120;20,119;787;125;120;20,0,False,
